composition,id,energyperatom
Fe1Nb2O6,icsd_031943,-7.968507861110001
Fe1Nb2O6,icsd_151720,-7.96850375
Fe1Nb2O6,icsd_201962,-7.96845111111
C5V6,icsd_654841,-7.967928060610001
Mn3O12Si3V2,icsd_027380,-7.9673875875
C5N4,icsd_002130,-7.96708077778
La1Mn1O3,icsd_055967,-7.9669753
Ba1O15V10,icsd_082099,-7.96410880769
La1Mn1O3,icsd_050335,-7.96371385
Mn2O5Y1,icsd_167328,-7.963338625
Mn2O4Si1,icsd_088026,-7.962733285710001
Mn2O5Y1,icsd_159271,-7.9624104375
O4Sr1Y2,icsd_025701,-7.961934964289999
Mn2O5Y1,icsd_165869,-7.9614613125
Mo3O12Y2,icsd_160286,-7.961342470589999
B6C3Nb7,icsd_411625,-7.9612300000000005
Ba1O18V13,icsd_097948,-7.9609963125
C1Ni2W4,icsd_618587,-7.96063664286
Ba4O27Ti12,icsd_280159,-7.9586734186
Ba1O15V10,icsd_413302,-7.957949326919999
Hf1O3Pb1,icsd_174114,-7.957502875
N7Si4Sr1Y1,icsd_150459,-7.95628680769
Al1C3Nb4,icsd_163550,-7.9558978125
Ba1O15V10,icsd_413301,-7.95526997115
Ba1O18V13,icsd_051472,-7.9551785000000015
N10Si7Sr1,icsd_154166,-7.95492802778
O1Zr1,icsd_076019,-7.954412
Cr2O4Si1,icsd_089073,-7.95375585714
La2Mo2O7,icsd_202189,-7.952669545449999
Ba1O4Y2,icsd_078483,-7.949135535710001
O4Si1Ti1,icsd_166437,-7.948511083330001
O3Sr1Zr1,icsd_173398,-7.947648299999999
O9V5,icsd_069882,-7.947193964289999
O9V5,icsd_009037,-7.946918964289999
Hf1Mo2O8,icsd_166517,-7.945724833330001
K1Nb8O14,icsd_071218,-7.944605434780001
La5N9Si3,icsd_419064,-7.943915102939999
O4Si1Ti1,icsd_166436,-7.943785833330001
O15Sr1V10,icsd_015273,-7.94358915385
Fe1O4W1,icsd_015192,-7.9435544999999985
O18Sr1V13,icsd_097949,-7.94280465625
Mn3N2,icsd_084202,-7.9421051999999985
Mn3N2,icsd_071638,-7.9418958
B3Ni1W3,icsd_615070,-7.94120792857
Mn1O3Si1,icsd_034159,-7.9410802571399985
Cr2O4Si1,icsd_089071,-7.94032557143
Fe3N1W3,icsd_059255,-7.940311535710001
Ba3Nb6O26Si4,icsd_016029,-7.94000269231
La4Mn5O22Si4,icsd_079811,-7.939761514289999
O3Sr1Zr1,icsd_089355,-7.9377647
Si2W3,icsd_652552,-7.9377071
Mn1O3Si1,icsd_077579,-7.936455499999999
Ba2O13Ti6,icsd_300030,-7.934015857139999
Ba1Cr10O15,icsd_085054,-7.93337915385
La2Mo1O6,icsd_025611,-7.93317977778
O3Sr1Zr1,icsd_089358,-7.9320406000000006
Ba2La2Mn1O12W2,icsd_054667,-7.93200557895
C1Fe2W2,icsd_020233,-7.9316533
Cr1O4Y1,icsd_026989,-7.93130925
Cr1O4Y1,icsd_157933,-7.929779499999999
Cr1O4Y1,icsd_095971,-7.9284891666699995
Ba1Nb7O9,icsd_066344,-7.928356647060001
K1Nb5O13,icsd_170693,-7.92762118421
Ba3Nb16O23,icsd_074979,-7.92712311905
La1O8Rb1W2,icsd_027737,-7.92649479167
La1Mn1O3,icsd_029119,-7.925306
La5Mo6O21,icsd_170710,-7.92366086719
Fe1O3Y1,icsd_080865,-7.921433900000001
O11V6,icsd_000196,-7.920842529410001
Ba1Nb2O6,icsd_039272,-7.91988366667
Hf1O3Pb1,icsd_161702,-7.918833999999999
Al1Nb1O4,icsd_024078,-7.91880625
La1Mn1O3,icsd_155545,-7.9179479000000015
Ba1Cr10O15,icsd_082101,-7.916980442310001
Hf1Mo2O8,icsd_006137,-7.916791378789999
Cr10O15Sr1,icsd_085053,-7.91532146154
Hf2Si1,icsd_042523,-7.915233666669999
Mn2O7Sc2,icsd_083277,-7.91487854545
C1Nb2P1,icsd_043009,-7.914538499999999
Cr1N1,icsd_626339,-7.9143820000000025
Ba1Nb2O6,icsd_039320,-7.91241872222
As1Hf9Mo4,icsd_610646,-7.911639214289999
O2Si1,icsd_162618,-7.9101845
Cr1O4Y1,icsd_157934,-7.909973333330001
O5Ti4,icsd_077697,-7.909849111110001
O2Si1,icsd_075649,-7.909216333330001
O2Si1,icsd_015321,-7.90886683333
O2Si1,icsd_081382,-7.908773361110001
O2Si1,icsd_413210,-7.908729333330001
O2Si1,icsd_417476,-7.908658916669999
O2Si1,icsd_100199,-7.908298583330001
O2Si1,icsd_075488,-7.908173166669999
O2Si1,icsd_091736,-7.907509458330001
O2Si1,icsd_075651,-7.90744675
O2Si1,icsd_024587,-7.90735345833
O2Si1,icsd_029343,-7.90733816667
O2Si1,icsd_075654,-7.90722775
O2Si1,icsd_170525,-7.9063212083300005
O2Si1,icsd_040903,-7.905611416669999
O2Si1,icsd_170524,-7.905578125
O2Si1,icsd_048153,-7.905150480389999
O2Si1,icsd_035536,-7.904999666669999
O2Si1,icsd_062585,-7.90476523611
O2Si1,icsd_062584,-7.904330444439997
O2Si1,icsd_075647,-7.90429883333
Mn1O1,icsd_262928,-7.90389325
O2Si1,icsd_183701,-7.903580666669999
O13Sr2Ti6,icsd_010455,-7.9031827619
O2Si1,icsd_170499,-7.90306833333
O2Si1,icsd_075652,-7.902866583330001
O2Si1,icsd_170498,-7.9028004375
Mo1N1,icsd_106926,-7.9021584375
O2Si1,icsd_086547,-7.901865805560001
O2Si1,icsd_086549,-7.90152078472
O2Si1,icsd_062582,-7.901283261900001
O2Si1,icsd_085468,-7.90119904762
O2Si1,icsd_065497,-7.900016870369999
O2Si1,icsd_170516,-7.89986277083
O2Si1,icsd_075476,-7.8994859259300005
La7Mo7O30,icsd_050613,-7.89944611364
O2Si1,icsd_086207,-7.899202572919999
O2Si1,icsd_031048,-7.899119666669999
O2Si1,icsd_027826,-7.8991145555600015
Mo2N1,icsd_030593,-7.8989368333300005
O2Si1,icsd_157744,-7.89883475
O2Si1,icsd_162613,-7.89881266667
O2Si1,icsd_093975,-7.898754111110001
Fe1O3Y1,icsd_023822,-7.89817475
O2Si1,icsd_170543,-7.897847916669999
Ca1O4W1,icsd_077335,-7.896924416669999
Ca1O4W1,icsd_015869,-7.896922
Ca1O4W1,icsd_155424,-7.896867166669999
O2Si1,icsd_170561,-7.89576352778
O2Si1,icsd_419757,-7.895087444439999
N4Si3,icsd_156337,-7.894547964289999
O2Si1,icsd_410596,-7.893966927080001
O2Si1,icsd_171674,-7.89365339286
Fe1La3O6,icsd_421426,-7.8930338
Ba1Nb2O6,icsd_028253,-7.8929005000000005
Al1La1O3,icsd_090522,-7.8926683
Al1La1O3,icsd_180417,-7.8926614
Al1La1O3,icsd_180415,-7.8926406
Al1La1O3,icsd_180416,-7.8926281000000005
O2Si1,icsd_170547,-7.89231925
Al1La1O3,icsd_090554,-7.8920492
O2Si1,icsd_093108,-7.891795177080001
O2Si1,icsd_170546,-7.89165691667
Cr2N1,icsd_067400,-7.890080555560001
Hf9Mo4S1,icsd_638628,-7.89007857143
Mo2O8Zr1,icsd_098167,-7.88943722727
Mo2O8Zr1,icsd_059997,-7.889431151519999
Mo2O8Zr1,icsd_059144,-7.88942001515
Mo3O12Sc2,icsd_020838,-7.88940148529
Mo2O8Zr1,icsd_280429,-7.889396363639999
O2Si1,icsd_152295,-7.88937142593
Mo2O8Zr1,icsd_280435,-7.888783818180001
Mo2O8Zr1,icsd_059999,-7.888694818180001
Mo2O8Zr1,icsd_280437,-7.88782345455
O4Si1Ti1,icsd_166438,-7.8864484166699995
Na5O44W14,icsd_280172,-7.88638801587
O2Si1,icsd_170534,-7.8853009375
